OID_,GEOID,INTPTLAT,INTPTLON,NAME_1,COALIT,COUNT,SUM_SQ_FT
3782,410510009021014,+45.4911814,-122.6292736,CRESTON-KENILWORTH,SEUL,29.000000000000000,42251.000000000000000
3783,410510005023022,+45.4763224,-122.5798468,MT. SCOTT-ARLETA,SEUL,10.000000000000000,9771.000000000000000
3784,410510008012010,+45.5008490,-122.6075440,SOUTH TABOR,SEUL,19.000000000000000,25059.000000000000000
3785,410510008021019,+45.4937732,-122.6042505,FOSTER-POWELL,SEUL,8.000000000000000,18339.000000000000000
3786,410510038011032,+45.5817161,-122.6811171,KENTON,NPNS,16.000000000000000,22814.000000000000000
3787,410510007014022,+45.5019430,-122.5931864,SOUTH TABOR,SEUL,10.000000000000000,25554.000000000000000
3788,410510099032014,+45.4743219,-122.4927918,PLEASANT VALLEY,EPNO,12.000000000000000,21650.000000000000000
3789,410510039012007,+45.5816350,-122.6936290,KENTON,NPNS,30.000000000000000,33854.000000000000000
3790,410510039012006,+45.5816371,-122.6960318,KENTON,NPNS,27.000000000000000,31078.000000000000000
3791,410510007011012,+45.5028025,-122.5792427,SOUTH TABOR,SEUL,10.000000000000000,26302.000000000000000
3792,410510102003071,+45.5563225,-122.4792403,WILKES,EPNO,10.000000000000000,537225.000000000000000
3793,410510004022031,+45.4816051,-122.6034387,WOODSTOCK,SEUL,20.000000000000000,19193.000000000000000
3794,410510039013009,+45.5821393,-122.7033618,KENTON,NPNS,81.000000000000000,85972.000000000000000
3795,410510080021013,+45.5438703,-122.5450746,PARKROSE HEIGHTS,EPNO,61.000000000000000,92629.000000000000000
3796,410510081003001,+45.5325088,-122.5585362,HAZELWOOD,EPNO,1.000000000000000,25837.000000000000000
3797,410510070004041,+45.5340043,-122.7740872,NORTHWEST HEIGHTS,NWNW,6.000000000000000,17130.000000000000000
3798,410510037021017,+45.5683535,-122.6660670,PIEDMONT,NPNS,14.000000000000000,14946.000000000000000
3799,410510033012014,+45.5568393,-122.6551397,KING,NECN,15.000000000000000,16279.000000000000000
3800,410510001005011,+45.4604032,-122.6539963,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,30.000000000000000,31778.000000000000000
3801,410510033011006,+45.5595553,-122.6531417,KING,NECN,17.000000000000000,22295.000000000000000
3802,410510013013017,+45.5128266,-122.6342766,SUNNYSIDE,SEUL,22.000000000000000,38736.000000000000000
3803,410510021001133,+45.5211346,-122.6571596,BUCKMAN,SEUL,4.000000000000000,28224.000000000000000
3804,410510028023008,+45.5333574,-122.6094495,ROSE CITY PARK,CNN,18.000000000000000,16418.000000000000000
