OID_,GEOID,INTPTLAT,NAME,COALIT,INTPTLON,COUNT,SUM_SQ_FT
9787,410510023033011,+45.5354427,ELIOT,NECN,-122.6631629,3.000000000000000,23925.000000000000000
9788,410510039023023,+45.5729669,ARBOR LODGE,NPNS,-122.7013267,13.000000000000000,12360.000000000000000
9789,410510022031026,+45.5450054,ELIOT,NECN,-122.6673154,4.000000000000000,23691.000000000000000
9790,410510095012002,+45.5492958,WILKES,EPCO,-122.5010901,12.000000000000000,30934.000000000000000
9791,410510093022019,+45.5247071,HAZELWOOD,EPCO,-122.5176881,39.000000000000000,64628.000000000000000
9792,410510017041015,+45.5197425,MT. TABOR,SEUL,-122.5853079,17.000000000000000,24431.000000000000000
9793,410510094001019,+45.5382525,WILKES,EPCO,-122.5002213,17.000000000000000,46049.000000000000000
9794,410510014005018,+45.5051387,RICHMOND,SEUL,-122.6220595,4.000000000000000,26447.000000000000000
9795,410510018021010,+45.5224522,MT. TABOR,SEUL,-122.6067284,2.000000000000000,41945.000000000000000
9796,410510034014014,+45.5575933,HUMBOLDT,NECN,-122.6744291,20.000000000000000,31359.000000000000000
9797,410510008011001,+45.5048907,SOUTH TABOR,SEUL,-122.6007412,13.000000000000000,16119.000000000000000
9798,410510018022003,+45.5183523,MT. TABOR,SEUL,-122.6055691,64.000000000000000,83751.000000000000000
9799,410510007011017,+45.5024462,SOUTH TABOR,SEUL,-122.5823934,28.000000000000000,37818.000000000000000
9800,410510094003018,+45.5354803,RUSSELL,EPCO,-122.5212493,44.000000000000000,76657.000000000000000
9801,410510099033019,+45.4777796,PLEASANT VALLEY,EPCO,-122.4855549,18.000000000000000,49422.000000000000000
9802,410510034013013,+45.5561952,HUMBOLDT,NECN,-122.6724203,26.000000000000000,27681.000000000000000
9803,410510006022018,+45.4677669,LENTS,EPCO,-122.5766190,97.000000000000000,144758.000000000000000
9804,410510073001117,+45.5645811,ARGAY TERRACE,EPCO,-122.5267564,18.000000000000000,1003326.000000000000000
9805,410510006023005,+45.4766250,LENTS,EPCO,-122.5740408,32.000000000000000,33391.000000000000000
9806,410510009011018,+45.5015812,RICHMOND,SEUL,-122.6274032,28.000000000000000,44907.000000000000000
9807,410510008014009,+45.5030075,RICHMOND,SEUL,-122.6170770,23.000000000000000,27279.000000000000000
9808,410510094001012,+45.5390928,WILKES,EPCO,-122.5015264,20.000000000000000,43826.000000000000000
9809,410510094001002,+45.5417641,WILKES,EPCO,-122.5031998,40.000000000000000,135978.000000000000000
9810,410510083022025,+45.4903783,LENTS,EPCO,-122.5636790,32.000000000000000,45366.000000000000000
9811,410510005011005,+45.4852305,MT. SCOTT-ARLETA,SEUL,-122.5921847,18.000000000000000,22485.000000000000000
9812,410510081004006,+45.5228206,HAZELWOOD,EPCO,-122.5441435,12.000000000000000,12759.000000000000000
9813,410510014003011,+45.5104263,RICHMOND,SEUL,-122.6220012,49.000000000000000,108663.000000000000000
9814,410510029024006,+45.5341573,MADISON SOUTH,CNN,-122.5948990,6.000000000000000,19705.000000000000000
9815,410510039043016,+45.5795138,KENTON,NPNS,-122.7013133,34.000000000000000,39605.000000000000000
9816,410510005011014,+45.4824337,MT. SCOTT-ARLETA,SEUL,-122.5925045,19.000000000000000,18307.000000000000000
9817,410510081002018,+45.5303147,HAZELWOOD,EPCO,-122.5488315,52.000000000000000,74521.000000000000000
9818,410510018022001,+45.5180311,MT. TABOR,SEUL,-122.6016082,27.000000000000000,51803.000000000000000
9819,410510029034014,+45.5453498,MADISON SOUTH,CNN,-122.5736572,30.000000000000000,36023.000000000000000
9820,410510078001010,+45.5558787,SUMNER,CNN,-122.5690827,21.000000000000000,28961.000000000000000
9821,410510034012008,+45.5567432,HUMBOLDT,NECN,-122.6674125,18.000000000000000,22352.000000000000000
9822,410510034013015,+45.5561533,HUMBOLDT,NECN,-122.6744780,20.000000000000000,33336.000000000000000
9823,410510080012016,+45.5352781,PARKROSE HEIGHTS,EPCO,-122.5566889,12.000000000000000,125998.000000000000000
9824,410510094002000,+45.5401871,RUSSELL,EPCO,-122.5255661,57.000000000000000,121018.000000000000000
9825,410510007013011,+45.4981705,SOUTH TABOR,SEUL,-122.5961173,23.000000000000000,25694.000000000000000
9826,410510014004002,+45.5083807,RICHMOND,SEUL,-122.6156415,14.000000000000000,16695.000000000000000
9827,410510007013008,+45.4993631,SOUTH TABOR,SEUL,-122.5891879,28.000000000000000,29398.000000000000000
9828,410510022031003,+45.5474448,BOISE,NECN,-122.6723307,25.000000000000000,72349.000000000000000
9829,410510081002024,+45.5271823,HAZELWOOD,EPCO,-122.5465542,67.000000000000000,136181.000000000000000
9830,410510034021026,+45.5488540,BOISE,NECN,-122.6659840,16.000000000000000,16973.000000000000000
9831,410510038023023,+45.5721776,ARBOR LODGE,NPNS,-122.6885938,38.000000000000000,35798.000000000000000
9832,410510005014009,+45.4875311,MT. SCOTT-ARLETA,SEUL,-122.5987499,18.000000000000000,14929.000000000000000
9833,410510038013018,+45.5779753,KENTON,NPNS,-122.6871489,15.000000000000000,17059.000000000000000
9834,410510092031010,+45.5106794,HAZELWOOD,EPCO,-122.5235494,21.000000000000000,42238.000000000000000
9835,410510016015013,+45.5168062,MT. TABOR,SEUL,-122.5903379,25.000000000000000,32654.000000000000000
9836,410510089031000,+45.4812755,PLEASANT VALLEY,EPCO,-122.4898914,48.000000000000000,79275.000000000000000
