OID_,GEOID,INTPTLAT,INTPTLON,COUNT,SUM_SQ_FT
162,410050210001015,+45.4578576,-122.6026317,17.000000000000000,44321.000000000000000
163,410510094005000,+45.5351597,-122.4980267,116.000000000000000,240430.000000000000000
164,410510036011011,+45.5654220,-122.6515732,36.000000000000000,34833.000000000000000
165,410510036013016,+45.5698099,-122.6531055,22.000000000000000,20501.000000000000000
166,410510076002007,+45.5595250,-122.5921857,15.000000000000000,29740.000000000000000
167,410510036022039,+45.5660807,-122.6376080,7.000000000000000,7179.000000000000000
168,410050201002005,+45.4253628,-122.6676838,8.000000000000000,9279.000000000000000
169,410510010005003,+45.5006143,-122.6573008,27.000000000000000,32381.000000000000000
170,410050216014025,+45.4557626,-122.5961106,3.000000000000000,17465.000000000000000
171,410510036012038,+45.5738247,-122.6588338,25.000000000000000,23979.000000000000000
172,410510018012021,+45.5246470,-122.6032920,26.000000000000000,34101.000000000000000
173,410510037021026,+45.5670586,-122.6617247,5.000000000000000,15966.000000000000000
174,410510059004017,+45.4915179,-122.6768877,10.000000000000000,40602.000000000000000
175,410510006022005,+45.4730821,-122.5753620,30.000000000000000,33971.000000000000000
176,410050203041030,+45.4262648,-122.7425096,12.000000000000000,16018.000000000000000
177,410510051001028,+45.5318533,-122.6829618,2.000000000000000,27942.000000000000000
178,410510029031021,+45.5396858,-122.5661958,93.000000000000000,271058.000000000000000
179,410510041012021,+45.5954389,-122.7403930,23.000000000000000,25002.000000000000000
180,410510087002007,+45.4715084,-122.6060948,29.000000000000000,31548.000000000000000
181,410510067021004,+45.4793219,-122.7086059,16.000000000000000,25242.000000000000000
182,410510102001061,+45.5434796,-122.4940592,13.000000000000000,24647.000000000000000
183,410510056001006,+45.5142135,-122.6846814,2.000000000000000,25666.000000000000000
184,410510008024000,+45.4968849,-122.6120198,18.000000000000000,35032.000000000000000
185,410050208003018,+45.4393091,-122.6273220,14.000000000000000,24012.000000000000000
186,410510029031036,+45.5511881,-122.5781321,1.000000000000000,699.000000000000000
187,410510066021016,+45.4683831,-122.6968538,71.000000000000000,105882.000000000000000
188,410510039011024,+45.5841039,-122.6934829,36.000000000000000,40532.000000000000000
189,410510066021008,+45.4704574,-122.6906380,3.000000000000000,94225.000000000000000
190,410050222081008,+45.4596971,-122.5033581,9.000000000000000,10541.000000000000000
191,410510008023023,+45.4911281,-122.6163318,35.000000000000000,29597.000000000000000
192,410510057001041,+45.5026448,-122.6808370,11.000000000000000,29346.000000000000000
193,410510079002020,+45.5508637,-122.5490949,44.000000000000000,60757.000000000000000
194,410510031001054,+45.5596717,-122.6381345,12.000000000000000,15507.000000000000000
195,410510066023013,+45.4744670,-122.7135285,10.000000000000000,14102.000000000000000
196,410510029014002,+45.5539544,-122.5942486,17.000000000000000,83445.000000000000000
197,410510073001100,+45.5685210,-122.5462647,4.000000000000000,36069.000000000000000
